section,experiment,region,x_name,x_value,seed,trace_hash_nunique,total_arrivals_nunique,arrivals_per_slot_nunique,trace_consistent
split_enabled,length,Alabama,fixed_sfc_len,1.0,1,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,1.0,2,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,1.0,3,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,1.0,4,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,1.0,5,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,2.0,1,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,2.0,2,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,2.0,3,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,2.0,4,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,2.0,5,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,3.0,1,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,3.0,2,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,3.0,3,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,3.0,4,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,3.0,5,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,4.0,1,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,4.0,2,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,4.0,3,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,4.0,4,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,4.0,5,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,5.0,1,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,5.0,2,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,5.0,3,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,5.0,4,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,5.0,5,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,6.0,1,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,6.0,2,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,6.0,3,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,6.0,4,1,1,1,True
split_enabled,length,Alabama,fixed_sfc_len,6.0,5,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,1.0,1,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,1.0,2,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,1.0,3,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,1.0,4,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,1.0,5,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,2.0,1,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,2.0,2,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,2.0,3,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,2.0,4,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,2.0,5,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,3.0,1,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,3.0,2,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,3.0,3,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,3.0,4,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,3.0,5,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,4.0,1,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,4.0,2,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,4.0,3,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,4.0,4,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,4.0,5,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,5.0,1,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,5.0,2,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,5.0,3,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,5.0,4,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,5.0,5,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,6.0,1,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,6.0,2,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,6.0,3,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,6.0,4,1,1,1,True
split_enabled,length,Arizona,fixed_sfc_len,6.0,5,1,1,1,True
split_enabled,load,Alabama,arrival_rate,5.0,1,1,1,1,True
split_enabled,load,Alabama,arrival_rate,5.0,2,1,1,1,True
split_enabled,load,Alabama,arrival_rate,5.0,3,1,1,1,True
split_enabled,load,Alabama,arrival_rate,5.0,4,1,1,1,True
split_enabled,load,Alabama,arrival_rate,5.0,5,1,1,1,True
split_enabled,load,Alabama,arrival_rate,10.0,1,1,1,1,True
split_enabled,load,Alabama,arrival_rate,10.0,2,1,1,1,True
split_enabled,load,Alabama,arrival_rate,10.0,3,1,1,1,True
split_enabled,load,Alabama,arrival_rate,10.0,4,1,1,1,True
split_enabled,load,Alabama,arrival_rate,10.0,5,1,1,1,True
split_enabled,load,Alabama,arrival_rate,15.0,1,1,1,1,True
split_enabled,load,Alabama,arrival_rate,15.0,2,1,1,1,True
split_enabled,load,Alabama,arrival_rate,15.0,3,1,1,1,True
split_enabled,load,Alabama,arrival_rate,15.0,4,1,1,1,True
split_enabled,load,Alabama,arrival_rate,15.0,5,1,1,1,True
split_enabled,load,Alabama,arrival_rate,20.0,1,1,1,1,True
split_enabled,load,Alabama,arrival_rate,20.0,2,1,1,1,True
split_enabled,load,Alabama,arrival_rate,20.0,3,1,1,1,True
split_enabled,load,Alabama,arrival_rate,20.0,4,1,1,1,True
split_enabled,load,Alabama,arrival_rate,20.0,5,1,1,1,True
split_enabled,load,Alabama,arrival_rate,25.0,1,1,1,1,True
split_enabled,load,Alabama,arrival_rate,25.0,2,1,1,1,True
split_enabled,load,Alabama,arrival_rate,25.0,3,1,1,1,True
split_enabled,load,Alabama,arrival_rate,25.0,4,1,1,1,True
split_enabled,load,Alabama,arrival_rate,25.0,5,1,1,1,True
split_enabled,load,Alabama,arrival_rate,30.0,1,1,1,1,True
split_enabled,load,Alabama,arrival_rate,30.0,2,1,1,1,True
split_enabled,load,Alabama,arrival_rate,30.0,3,1,1,1,True
split_enabled,load,Alabama,arrival_rate,30.0,4,1,1,1,True
split_enabled,load,Alabama,arrival_rate,30.0,5,1,1,1,True
split_enabled,load,Alabama,arrival_rate,35.0,1,1,1,1,True
split_enabled,load,Alabama,arrival_rate,35.0,2,1,1,1,True
split_enabled,load,Alabama,arrival_rate,35.0,3,1,1,1,True
split_enabled,load,Alabama,arrival_rate,35.0,4,1,1,1,True
split_enabled,load,Alabama,arrival_rate,35.0,5,1,1,1,True
split_enabled,load,Alabama,arrival_rate,40.0,1,1,1,1,True
split_enabled,load,Alabama,arrival_rate,40.0,2,1,1,1,True
split_enabled,load,Alabama,arrival_rate,40.0,3,1,1,1,True
split_enabled,load,Alabama,arrival_rate,40.0,4,1,1,1,True
split_enabled,load,Alabama,arrival_rate,40.0,5,1,1,1,True
split_enabled,load,Alabama,arrival_rate,45.0,1,1,1,1,True
split_enabled,load,Alabama,arrival_rate,45.0,2,1,1,1,True
split_enabled,load,Alabama,arrival_rate,45.0,3,1,1,1,True
split_enabled,load,Alabama,arrival_rate,45.0,4,1,1,1,True
split_enabled,load,Alabama,arrival_rate,45.0,5,1,1,1,True
split_enabled,load,Alabama,arrival_rate,50.0,1,1,1,1,True
split_enabled,load,Alabama,arrival_rate,50.0,2,1,1,1,True
split_enabled,load,Alabama,arrival_rate,50.0,3,1,1,1,True
split_enabled,load,Alabama,arrival_rate,50.0,4,1,1,1,True
split_enabled,load,Alabama,arrival_rate,50.0,5,1,1,1,True
split_enabled,load,Arizona,arrival_rate,5.0,1,1,1,1,True
split_enabled,load,Arizona,arrival_rate,5.0,2,1,1,1,True
split_enabled,load,Arizona,arrival_rate,5.0,3,1,1,1,True
split_enabled,load,Arizona,arrival_rate,5.0,4,1,1,1,True
split_enabled,load,Arizona,arrival_rate,5.0,5,1,1,1,True
split_enabled,load,Arizona,arrival_rate,10.0,1,1,1,1,True
split_enabled,load,Arizona,arrival_rate,10.0,2,1,1,1,True
split_enabled,load,Arizona,arrival_rate,10.0,3,1,1,1,True
split_enabled,load,Arizona,arrival_rate,10.0,4,1,1,1,True
split_enabled,load,Arizona,arrival_rate,10.0,5,1,1,1,True
split_enabled,load,Arizona,arrival_rate,15.0,1,1,1,1,True
split_enabled,load,Arizona,arrival_rate,15.0,2,1,1,1,True
split_enabled,load,Arizona,arrival_rate,15.0,3,1,1,1,True
split_enabled,load,Arizona,arrival_rate,15.0,4,1,1,1,True
split_enabled,load,Arizona,arrival_rate,15.0,5,1,1,1,True
split_enabled,load,Arizona,arrival_rate,20.0,1,1,1,1,True
split_enabled,load,Arizona,arrival_rate,20.0,2,1,1,1,True
split_enabled,load,Arizona,arrival_rate,20.0,3,1,1,1,True
split_enabled,load,Arizona,arrival_rate,20.0,4,1,1,1,True
split_enabled,load,Arizona,arrival_rate,20.0,5,1,1,1,True
split_enabled,load,Arizona,arrival_rate,25.0,1,1,1,1,True
split_enabled,load,Arizona,arrival_rate,25.0,2,1,1,1,True
split_enabled,load,Arizona,arrival_rate,25.0,3,1,1,1,True
split_enabled,load,Arizona,arrival_rate,25.0,4,1,1,1,True
split_enabled,load,Arizona,arrival_rate,25.0,5,1,1,1,True
split_enabled,load,Arizona,arrival_rate,30.0,1,1,1,1,True
split_enabled,load,Arizona,arrival_rate,30.0,2,1,1,1,True
split_enabled,load,Arizona,arrival_rate,30.0,3,1,1,1,True
split_enabled,load,Arizona,arrival_rate,30.0,4,1,1,1,True
split_enabled,load,Arizona,arrival_rate,30.0,5,1,1,1,True
split_enabled,load,Arizona,arrival_rate,35.0,1,1,1,1,True
split_enabled,load,Arizona,arrival_rate,35.0,2,1,1,1,True
split_enabled,load,Arizona,arrival_rate,35.0,3,1,1,1,True
split_enabled,load,Arizona,arrival_rate,35.0,4,1,1,1,True
split_enabled,load,Arizona,arrival_rate,35.0,5,1,1,1,True
split_enabled,load,Arizona,arrival_rate,40.0,1,1,1,1,True
split_enabled,load,Arizona,arrival_rate,40.0,2,1,1,1,True
split_enabled,load,Arizona,arrival_rate,40.0,3,1,1,1,True
split_enabled,load,Arizona,arrival_rate,40.0,4,1,1,1,True
split_enabled,load,Arizona,arrival_rate,40.0,5,1,1,1,True
split_enabled,load,Arizona,arrival_rate,45.0,1,1,1,1,True
split_enabled,load,Arizona,arrival_rate,45.0,2,1,1,1,True
split_enabled,load,Arizona,arrival_rate,45.0,3,1,1,1,True
split_enabled,load,Arizona,arrival_rate,45.0,4,1,1,1,True
split_enabled,load,Arizona,arrival_rate,45.0,5,1,1,1,True
split_enabled,load,Arizona,arrival_rate,50.0,1,1,1,1,True
split_enabled,load,Arizona,arrival_rate,50.0,2,1,1,1,True
split_enabled,load,Arizona,arrival_rate,50.0,3,1,1,1,True
split_enabled,load,Arizona,arrival_rate,50.0,4,1,1,1,True
split_enabled,load,Arizona,arrival_rate,50.0,5,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.9,1,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.9,2,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.9,3,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.9,4,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.9,5,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.93,1,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.93,2,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.93,3,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.93,4,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.93,5,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.96,1,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.96,2,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.96,3,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.96,4,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.96,5,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.98,1,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.98,2,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.98,3,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.98,4,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.98,5,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.99,1,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.99,2,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.99,3,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.99,4,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.99,5,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.992,1,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.992,2,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.992,3,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.992,4,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.992,5,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.994,1,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.994,2,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.994,3,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.994,4,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.994,5,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.996,1,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.996,2,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.996,3,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.996,4,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.996,5,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.998,1,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.998,2,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.998,3,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.998,4,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.998,5,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.999,1,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.999,2,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.999,3,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.999,4,1,1,1,True
split_enabled,reliability,Alabama,fixed_reliability,0.999,5,1,1,1,True
split_enabled,reliability,Arizona,fixed_reliability,0.9,1,1,1,1,True
split_enabled,reliability,Arizona,fixed_reliability,0.9,2,1,1,1,True
split_enabled,reliability,Arizona,fixed_reliability,0.9,3,1,1,1,True
split_enabled,reliability,Arizona,fixed_reliability,0.9,4,1,1,1,True
split_enabled,reliability,Arizona,fixed_reliability,0.9,5,1,1,1,True
split_enabled,reliability,Arizona,fixed_reliability,0.93,1,1,1,1,True
split_enabled,reliability,Arizona,fixed_reliability,0.93,2,1,1,1,True
split_enabled,reliability,Arizona,fixed_reliability,0.93,3,1,1,1,True
split_enabled,reliability,Arizona,fixed_reliability,0.93,4,1,1,1,True
split_enabled,reliability,Arizona,fixed_reliability,0.93,5,1,1,1,True
split_enabled,reliability,Arizona,fixed_reliability,0.96,1,1,1,1,True
split_enabled,reliability,Arizona,fixed_reliability,0.96,2,1,1,1,True
split_enabled,reliability,Arizona,fixed_reliability,0.96,3,1,1,1,True
split_enabled,reliability,Arizona,fixed_reliability,0.96,4,1,1,1,True
split_enabled,reliability,Arizona,fixed_reliability,0.96,5,1,1,1,True
split_enabled,reliability,Arizona,fixed_reliability,0.98,1,1,1,1,True
split_enabled,reliability,Arizona,fixed_reliability,0.98,2,1,1,1,True
split_enabled,reliability,Arizona,fixed_reliability,0.98,3,1,1,1,True
split_enabled,reliability,Arizona,fixed_reliability,0.98,4,1,1,1,True
split_enabled,reliability,Arizona,fixed_reliability,0.98,5,1,1,1,True
split_enabled,reliability,Arizona,fixed_reliability,0.99,1,1,1,1,True
split_enabled,reliability,Arizona,fixed_reliability,0.99,2,1,1,1,True
split_enabled,reliability,Arizona,fixed_reliability,0.99,3,1,1,1,True
split_enabled,reliability,Arizona,fixed_reliability,0.99,4,1,1,1,True
split_enabled,reliability,Arizona,fixed_reliability,0.99,5,1,1,1,True
split_enabled,reliability,Arizona,fixed_reliability,0.992,1,1,1,1,True
split_enabled,reliability,Arizona,fixed_reliability,0.992,2,1,1,1,True
split_enabled,reliability,Arizona,fixed_reliability,0.992,3,1,1,1,True
split_enabled,reliability,Arizona,fixed_reliability,0.992,4,1,1,1,True
split_enabled,reliability,Arizona,fixed_reliability,0.992,5,1,1,1,True
split_enabled,reliability,Arizona,fixed_reliability,0.994,1,1,1,1,True
split_enabled,reliability,Arizona,fixed_reliability,0.994,2,1,1,1,True
split_enabled,reliability,Arizona,fixed_reliability,0.994,3,1,1,1,True
split_enabled,reliability,Arizona,fixed_reliability,0.994,4,1,1,1,True
split_enabled,reliability,Arizona,fixed_reliability,0.994,5,1,1,1,True
split_enabled,reliability,Arizona,fixed_reliability,0.996,1,1,1,1,True
split_enabled,reliability,Arizona,fixed_reliability,0.996,2,1,1,1,True
split_enabled,reliability,Arizona,fixed_reliability,0.996,3,1,1,1,True
