region,fixed_reliability,M,seed,arrivals_per_slot_key_nunique,total_arrivals_nunique,base_arrivals_consistent
Alabama,0.996,1,1,1,1,True
Alabama,0.996,1,2,1,1,True
Alabama,0.996,1,3,1,1,True
Alabama,0.996,1,4,1,1,True
Alabama,0.996,1,5,1,1,True
Alabama,0.996,2,1,1,1,True
Alabama,0.996,2,2,1,1,True
Alabama,0.996,2,3,1,1,True
Alabama,0.996,2,4,1,1,True
Alabama,0.996,2,5,1,1,True
Alabama,0.996,3,1,1,1,True
Alabama,0.996,3,2,1,1,True
Alabama,0.996,3,3,1,1,True
Alabama,0.996,3,4,1,1,True
Alabama,0.996,3,5,1,1,True
Alabama,0.996,4,1,1,1,True
Alabama,0.996,4,2,1,1,True
Alabama,0.996,4,3,1,1,True
Alabama,0.996,4,4,1,1,True
Alabama,0.996,4,5,1,1,True
Alabama,0.996,5,1,1,1,True
Alabama,0.996,5,2,1,1,True
Alabama,0.996,5,3,1,1,True
Alabama,0.996,5,4,1,1,True
Alabama,0.996,5,5,1,1,True
Alabama,0.998,1,1,1,1,True
Alabama,0.998,1,2,1,1,True
Alabama,0.998,1,3,1,1,True
Alabama,0.998,1,4,1,1,True
Alabama,0.998,1,5,1,1,True
Alabama,0.998,2,1,1,1,True
Alabama,0.998,2,2,1,1,True
Alabama,0.998,2,3,1,1,True
Alabama,0.998,2,4,1,1,True
Alabama,0.998,2,5,1,1,True
Alabama,0.998,3,1,1,1,True
Alabama,0.998,3,2,1,1,True
Alabama,0.998,3,3,1,1,True
Alabama,0.998,3,4,1,1,True
Alabama,0.998,3,5,1,1,True
Alabama,0.998,4,1,1,1,True
Alabama,0.998,4,2,1,1,True
Alabama,0.998,4,3,1,1,True
Alabama,0.998,4,4,1,1,True
Alabama,0.998,4,5,1,1,True
Alabama,0.998,5,1,1,1,True
Alabama,0.998,5,2,1,1,True
Alabama,0.998,5,3,1,1,True
Alabama,0.998,5,4,1,1,True
Alabama,0.998,5,5,1,1,True
Alabama,0.999,1,1,1,1,True
Alabama,0.999,1,2,1,1,True
Alabama,0.999,1,3,1,1,True
Alabama,0.999,1,4,1,1,True
Alabama,0.999,1,5,1,1,True
Alabama,0.999,2,1,1,1,True
Alabama,0.999,2,2,1,1,True
Alabama,0.999,2,3,1,1,True
Alabama,0.999,2,4,1,1,True
Alabama,0.999,2,5,1,1,True
Alabama,0.999,3,1,1,1,True
Alabama,0.999,3,2,1,1,True
Alabama,0.999,3,3,1,1,True
Alabama,0.999,3,4,1,1,True
Alabama,0.999,3,5,1,1,True
Alabama,0.999,4,1,1,1,True
Alabama,0.999,4,2,1,1,True
Alabama,0.999,4,3,1,1,True
Alabama,0.999,4,4,1,1,True
Alabama,0.999,4,5,1,1,True
Alabama,0.999,5,1,1,1,True
Alabama,0.999,5,2,1,1,True
Alabama,0.999,5,3,1,1,True
Alabama,0.999,5,4,1,1,True
Alabama,0.999,5,5,1,1,True
Arizona,0.996,1,1,1,1,True
Arizona,0.996,1,2,1,1,True
Arizona,0.996,1,3,1,1,True
Arizona,0.996,1,4,1,1,True
Arizona,0.996,1,5,1,1,True
Arizona,0.996,2,1,1,1,True
Arizona,0.996,2,2,1,1,True
Arizona,0.996,2,3,1,1,True
Arizona,0.996,2,4,1,1,True
Arizona,0.996,2,5,1,1,True
Arizona,0.996,3,1,1,1,True
Arizona,0.996,3,2,1,1,True
Arizona,0.996,3,3,1,1,True
Arizona,0.996,3,4,1,1,True
Arizona,0.996,3,5,1,1,True
Arizona,0.996,4,1,1,1,True
Arizona,0.996,4,2,1,1,True
Arizona,0.996,4,3,1,1,True
Arizona,0.996,4,4,1,1,True
Arizona,0.996,4,5,1,1,True
Arizona,0.996,5,1,1,1,True
Arizona,0.996,5,2,1,1,True
Arizona,0.996,5,3,1,1,True
Arizona,0.996,5,4,1,1,True
Arizona,0.996,5,5,1,1,True
Arizona,0.998,1,1,1,1,True
Arizona,0.998,1,2,1,1,True
Arizona,0.998,1,3,1,1,True
Arizona,0.998,1,4,1,1,True
Arizona,0.998,1,5,1,1,True
Arizona,0.998,2,1,1,1,True
Arizona,0.998,2,2,1,1,True
Arizona,0.998,2,3,1,1,True
Arizona,0.998,2,4,1,1,True
Arizona,0.998,2,5,1,1,True
Arizona,0.998,3,1,1,1,True
Arizona,0.998,3,2,1,1,True
Arizona,0.998,3,3,1,1,True
Arizona,0.998,3,4,1,1,True
Arizona,0.998,3,5,1,1,True
Arizona,0.998,4,1,1,1,True
Arizona,0.998,4,2,1,1,True
Arizona,0.998,4,3,1,1,True
Arizona,0.998,4,4,1,1,True
Arizona,0.998,4,5,1,1,True
Arizona,0.998,5,1,1,1,True
Arizona,0.998,5,2,1,1,True
Arizona,0.998,5,3,1,1,True
Arizona,0.998,5,4,1,1,True
Arizona,0.998,5,5,1,1,True
Arizona,0.999,1,1,1,1,True
Arizona,0.999,1,2,1,1,True
Arizona,0.999,1,3,1,1,True
Arizona,0.999,1,4,1,1,True
Arizona,0.999,1,5,1,1,True
Arizona,0.999,2,1,1,1,True
Arizona,0.999,2,2,1,1,True
Arizona,0.999,2,3,1,1,True
Arizona,0.999,2,4,1,1,True
Arizona,0.999,2,5,1,1,True
Arizona,0.999,3,1,1,1,True
Arizona,0.999,3,2,1,1,True
Arizona,0.999,3,3,1,1,True
Arizona,0.999,3,4,1,1,True
Arizona,0.999,3,5,1,1,True
Arizona,0.999,4,1,1,1,True
Arizona,0.999,4,2,1,1,True
Arizona,0.999,4,3,1,1,True
Arizona,0.999,4,4,1,1,True
Arizona,0.999,4,5,1,1,True
Arizona,0.999,5,1,1,1,True
Arizona,0.999,5,2,1,1,True
Arizona,0.999,5,3,1,1,True
Arizona,0.999,5,4,1,1,True
Arizona,0.999,5,5,1,1,True
