region,fixed_reliability,M,acceptance_ratio_mean_DMDCA,acceptance_ratio_mean_MDCA,avg_cost_per_accepted_mean_DMDCA,avg_cost_per_accepted_mean_MDCA,p95_e2e_delay_accepted_mean_DMDCA,p95_e2e_delay_accepted_mean_MDCA,capacity_rejection_ratio_mean_DMDCA,capacity_rejection_ratio_mean_MDCA,reliability_rejection_ratio_mean_DMDCA,reliability_rejection_ratio_mean_MDCA,qos_rejection_ratio_mean_DMDCA,qos_rejection_ratio_mean_MDCA,rga_rejection_ratio_mean_DMDCA,rga_rejection_ratio_mean_MDCA,acceptance_ratio_diff_DMDCA_minus_MDCA,avg_cost_per_accepted_diff_DMDCA_minus_MDCA,p95_e2e_delay_accepted_diff_DMDCA_minus_MDCA,capacity_rejection_ratio_diff_DMDCA_minus_MDCA,reliability_rejection_ratio_diff_DMDCA_minus_MDCA,qos_rejection_ratio_diff_DMDCA_minus_MDCA,rga_rejection_ratio_diff_DMDCA_minus_MDCA
Alabama,0.996,1,0.30574635018,0.14951107386,24.18762564232,16.4580739789,0.1130625848,0.08706256134,0.0,0.0,0.0,0.0,0.0016571722800000001,0.00013869626,0.6925964775000001,0.8503502298800001,0.15623527632,7.7295516634200006,0.026000023460000007,0.0,0.0,0.00151847602,-0.15775375238
Alabama,0.996,2,0.96650654674,0.9433845095400001,58.0914703807,61.78512079482,0.13184996614,0.12483838636,0.023825330920000002,0.04970888912,0.0,0.0,0.00966812234,0.00690660136,0.0,0.0,0.023122037199999945,-3.6936504141200004,0.007011579779999999,-0.0258835582,0.0,0.0027615209799999995,0.0
Alabama,0.996,3,0.96785858166,0.94103800156,58.46527216208,61.69259000546,0.13192747706,0.12565164814000002,0.02302536298,0.052606500359999996,0.0,0.0,0.009116055340000002,0.006355498060000001,0.0,0.0,0.026820580100000102,-3.22731784338,0.006275828919999976,-0.029581137379999997,0.0,0.002760557280000001,0.0
Alabama,0.996,4,0.96910754958,0.94103800156,58.48947793016,61.69259000546,0.13120566556,0.12565164814000002,0.022053214520000003,0.052606500359999996,0.0,0.0,0.008839235919999999,0.006355498060000001,0.0,0.0,0.028069548020000057,-3.203112075299998,0.005554017419999974,-0.030553285839999993,0.0,0.002483737859999998,0.0
Alabama,0.996,5,0.96744862574,0.94103800156,58.66987408516,61.69259000546,0.13137728065999998,0.12565164814000002,0.02246629208,0.052606500359999996,0.0,0.0,0.01008508218,0.006355498060000001,0.0,0.0,0.026410624180000064,-3.0227159203000014,0.005725632519999968,-0.030140208279999997,0.0,0.003729584119999999,0.0
Alabama,0.998,1,0.18509714884,0.0769122886,20.46094285976,13.27918189616,0.10363146048,0.07028979744,0.0,0.0,0.0,0.0,0.00082726338,0.0,0.8140755878,0.9230877114,0.10818486024,7.181760963599999,0.03334166304000001,0.0,0.0,0.00082726338,-0.10901212360000001
Alabama,0.998,2,0.9262003113,0.8922566591400001,59.917937663939995,61.92180519604,0.13002440166,0.12300785312,0.045399468139999996,0.05354022282,0.0,0.0,0.012941643320000001,0.00893607784,0.01545857726,0.045267040140000006,0.03394365215999995,-2.003867532100003,0.007016548540000014,-0.00814075468,0.0,0.004005565480000001,-0.029808462880000004
Alabama,0.998,3,0.93338519194,0.90867031318,60.27001612714,63.106634688279996,0.13056058208,0.12419106974,0.051452840359999995,0.08059156668,0.00041573858,0.0,0.014746229119999999,0.01073812012,0.0,0.0,0.024714878760000003,-2.8366185611399928,0.00636951233999998,-0.02913872632000001,0.00041573858,0.004008108999999999,0.0
Alabama,0.998,4,0.9336595113599999,0.90867031318,60.322882307600004,63.106634688279996,0.1297686569,0.12419106974,0.052701458820000005,0.08059156668,0.0005554,0.0,0.013083629820000001,0.01073812012,0.0,0.0,0.024989198179999894,-2.783752380679992,0.005577587159999994,-0.02789010786,0.0005554,0.0023455097000000015,0.0
Alabama,0.998,5,0.9340604712600001,0.90867031318,60.40827259128,63.106634688279996,0.12933976204,0.12419106974,0.05297788002,0.08059156668,0.00041608875999999995,0.0,0.012545559940000001,0.01073812012,0.0,0.0,0.025390158080000114,-2.6983620969999933,0.0051486922999999934,-0.027613686660000004,0.00041608875999999995,0.0018074398200000012,0.0
Alabama,0.999,1,0.11380903056,0.0382297505,17.49686271796,10.67487357826,0.09294564084,0.06994071292000001,0.0,0.0,0.0,0.0,0.00028725408000000003,0.0,0.8859037153599999,0.9617702495,0.07557928006,6.821989139699999,0.023004927919999987,0.0,0.0,0.00028725408000000003,-0.07586653414000011
Alabama,0.999,2,0.78842256178,0.6527365731,57.35495286092,50.74669985382,0.12643984408,0.11447439833999999,0.0017179604800000002,0.0,0.0,0.0,0.008809487539999999,0.00399077206,0.20104999021999997,0.34327265485999997,0.13568598868000004,6.608253007100004,0.01196544574000001,0.0017179604800000002,0.0,0.004818715479999999,-0.14222266464
Alabama,0.999,3,0.92165634526,0.89523105538,66.43258278073999,69.0737513172,0.13105593208,0.12469207099999999,0.06853869904000001,0.09780522902,0.0,0.0,0.00980495572,0.00696371564,0.0,0.0,0.026425289879999925,-2.6411685364600146,0.006363861080000005,-0.029266529979999983,0.0,0.0028412400799999998,0.0
Alabama,0.999,4,0.9192226484799999,0.8962205945400001,66.19727607308,69.13076968586,0.13012588862,0.1247167978,0.07025279702000001,0.09667232066,0.0005734767,0.0,0.009951077780000001,0.007107084820000001,0.0,0.0,0.023002053939999767,-2.9334936127799978,0.00540909081999999,-0.026419523639999998,0.0005734767,0.0028439929600000005,0.0
Alabama,0.999,5,0.92281051592,0.8962205945400001,66.72670245182,69.13076968586,0.13080275215999998,0.1247167978,0.0669609437,0.09667232066,0.00028472998,0.0,0.0099438104,0.007107084820000001,0.0,0.0,0.026589921379999826,-2.4040672340399993,0.006085954359999979,-0.029711376960000008,0.00028472998,0.0028367255799999986,0.0
Arizona,0.996,1,0.29015057534,0.1458042009,22.06648722644,16.1300939401,0.12066374608000001,0.09136493813999999,0.0,0.0,0.0,0.0,0.0024758209400000003,0.00014064698,0.7073736037,0.8540551521199999,0.14434637443999998,5.9363932863399995,0.02929880794000002,0.0,0.0,0.0023351739600000004,-0.14668154841999992
Arizona,0.996,2,0.98666814754,0.9891351403599999,45.0502741986,49.00666922528,0.13649727618000002,0.12762892,0.0,0.0,0.0,0.0,0.013331852459999998,0.010864859639999998,0.0,0.0,-0.002466992819999958,-3.956395026679999,0.008868356180000009,0.0,0.0,0.0024669928199999996,0.0
Arizona,0.996,3,0.9855472066,0.98940396352,45.156663584360004,49.00693608284,0.13449412766,0.12711437646,0.0,0.0,0.0,0.0,0.0144527934,0.01059603648,0.0,0.0,-0.003856756920000093,-3.8502724984799954,0.007379751199999979,0.0,0.0,0.003856756920000001,0.0
Arizona,0.996,4,0.9851612918800001,0.98940396352,45.04922366716001,49.00693608284,0.13427313359999998,0.12711437646,0.0,0.0,0.0,0.0,0.014838708119999999,0.01059603648,0.0,0.0,-0.004242671639999918,-3.9577124156799925,0.007158757139999972,0.0,0.0,0.004242671639999999,0.0
Arizona,0.996,5,0.98611057052,0.98940396352,45.11098818,49.00693608284,0.13486272861999998,0.12711437646,0.0,0.0,0.0,0.0,0.013889429479999998,0.01059603648,0.0,0.0,-0.003293393000000089,-3.8959479028399997,0.007748352159999972,0.0,0.0,0.0032933929999999986,0.0
Arizona,0.998,1,0.18115513534,0.07111497862,19.69599166742,12.31229451494,0.10938484480000002,0.07053400282,0.0,0.0,0.0,0.0,0.00027586533999999997,0.00013745704,0.81856899932,0.92874756434,0.11004015671999999,7.38369715248,0.03885084198000002,0.0,0.0,0.00013840829999999996,-0.11017856502000001
Arizona,0.998,2,0.9728230657799999,0.94990674414,47.48310373988,49.61207679836,0.13459359056,0.1251082905,0.0,0.0,0.0,0.0,0.01188389274,0.007746228220000001,0.01529304146,0.04234702762,0.022916321639999904,-2.1289730584799997,0.009485300060000007,0.0,0.0,0.00413766452,-0.027053986159999998
Arizona,0.998,3,0.9874552485400001,0.99080926932,48.36897434276,52.26569817006,0.13636195186,0.12809240589999998,0.0,0.0,0.0,0.0,0.01254475146,0.00919073068,0.0,0.0,-0.003354020779999911,-3.8967238273000007,0.008269545960000013,0.0,0.0,0.0033540207799999996,0.0
Arizona,0.998,4,0.9881315321799999,0.99080926932,48.365628087139996,52.26569817006,0.13427950712,0.12809240589999998,0.0,0.0,0.0,0.0,0.01186846782,0.00919073068,0.0,0.0,-0.0026777371400000805,-3.900070082920003,0.006187101220000019,0.0,0.0,0.0026777371400000007,0.0
Arizona,0.998,5,0.9857246163,0.99080926932,48.25574540224,52.26569817006,0.13580286020000001,0.12809240589999998,0.0,0.0,0.0,0.0,0.0142753837,0.00919073068,0.0,0.0,-0.005084653020000052,-4.009952767819996,0.00771045430000003,0.0,0.0,0.00508465302,0.0
Arizona,0.999,1,0.10965457068,0.0305184807,17.93394379544,10.837686046,0.10002219382,0.05757378438000001,0.0,0.0,0.0,0.0,0.00014306152,0.0,0.8902023678000001,0.9694815193,0.07913608997999999,7.096257749440001,0.04244840943999999,0.0,0.0,0.00014306152,-0.07927915149999998
Arizona,0.999,2,0.78523432902,0.6393302768,45.329339972499994,40.43357869506,0.1345948762,0.11750029278,0.0,0.0,0.0,0.0,0.009994630760000001,0.00430749538,0.20477104023999998,0.3563622278,0.14590405222000002,4.895761277439995,0.01709458341999999,0.0,0.0,0.005687135380000001,-0.15159118756
Arizona,0.999,3,0.98581231836,0.9901329354599999,56.03773783606,60.45084737564,0.13674658282000002,0.12934925088,0.0,0.0,0.0,0.0,0.01418768164,0.009867064540000001,0.0,0.0,-0.004320617099999868,-4.413109539579999,0.007397331940000029,0.0,0.0,0.004320617099999998,0.0
Arizona,0.999,4,0.98541716906,0.98942778972,56.098599139600005,60.39569970232001,0.13589718658,0.12878001386,0.0,0.0,0.0,0.0,0.014582830940000003,0.010572210280000001,0.0,0.0,-0.004010620660000019,-4.297100562720004,0.007117172720000009,0.0,0.0,0.004010620660000002,0.0
Arizona,0.999,5,0.9863642371999999,0.98942778972,56.07467910716,60.39569970232001,0.13630432696,0.12878001386,0.0,0.0,0.0,0.0,0.013635762800000001,0.010572210280000001,0.0,0.0,-0.0030635525200001235,-4.321020595160007,0.007524313100000013,0.0,0.0,0.0030635525200000003,0.0
