algo,region,time_slots,arrival_rate,mean_service_time,seed,trace_seed,algo_seed,trace_hash,arrivals_per_slot,diversity,p_split,split_reliability_mode,split_recovery_coverage,split_workload_shares,mechanism,fixed_sfc_len,fixed_reliability,max_backup_level,explicit_split_replicas,split_enforce_distinct,strict_split_resource_ablation,split_replica_resource_scale,backhaul_knn_k,backhaul_use_device_bw,backhaul_bw_scale,fiber_speed_mps,switch_delay_s,region_cloudlet_count,cap_base_min,cap_base_max,cap_scale,total_arrivals,total_accepted,total_rejected,acceptance_ratio,avg_cost_per_arrival,total_cost,total_cost_resource,avg_cost_per_accepted,final_utilization,avg_utilization_over_time,avg_leftover_capacity_sum_over_time,final_leftover_capacity_sum,final_leftover_capacity_min,final_leftover_capacity_max,final_leftover_capacity_avg,avg_e2e_delay_accepted,p95_e2e_delay_accepted,avg_access_delay_accepted,avg_processing_delay_accepted,avg_network_delay_accepted,avg_split_proc_overhead_accepted,avg_split_net_overhead_accepted,total_transmitted_bits_accepted,avg_transmitted_bits_per_accepted,total_split_transmitted_bits_accepted,avg_split_transmitted_bits_per_accepted,avg_split_overhead_ratio_accepted,p95_split_overhead_ratio_accepted,rga_accepted_total,rga_rejected_total,rga_rejection_ratio,mdca_rejected_total,mdca_capacity_rejected_total,mdca_reliability_rejected_total,mdca_qos_rejected_total,mdca_rejection_ratio,capacity_rejection_ratio,reliability_rejection_ratio,qos_rejected_total,qos_rejection_ratio,placement_trace_path,method,sim_out_dir
mdca,Alabama,120,12.0,9.0,1,7107730351518388438,14880128096359974019,b56db0d21b7c94cf1cbfdd4fe281852f506f1185a6b9dd5f9c177f64d601d89e,"[7, 9, 8, 11, 13, 10, 13, 10, 17, 8, 10, 15, 15, 7, 16, 13, 4, 15, 9, 11, 10, 6, 8, 15, 9, 16, 14, 15, 18, 9, 16, 7, 12, 10, 12, 7, 10, 12, 12, 16, 5, 11, 10, 11, 10, 12, 9, 13, 8, 12, 9, 13, 18, 17, 15, 16, 9, 8, 12, 15, 7, 16, 12, 14, 12, 14, 9, 8, 8, 8, 16, 13, 9, 14, 8, 14, 10, 14, 12, 9, 15, 11, 15, 11, 17, 9, 7, 9, 11, 9, 5, 16, 13, 11, 5, 16, 12, 14, 12, 20, 5, 13, 8, 10, 17, 15, 13, 12, 12, 10, 12, 14, 10, 8, 17, 8, 12, 6, 21, 14]",False,,,,,,,0.999,2,False,False,False,1.0,4,True,0.5,200000000.0,0.0002,137,500,700,0.2,1390,898,492,0.6460431655,34.2476122444,47604.1810197264,34023.1810197264,53.0113374384,0.8022430152,0.5873586258,72792.1666666667,34885.4,0.0,1723.8,254.6379562044,0.0557330809,0.1170457023,0.0080758249,0.041195125,0.0064621311,0.0,0.0,945958466.6338863,1053405.8648484258,0.0,0.0,0.0,0.0,907,483,0.3474820144,9,0,0,9,0.0064748201,0.0,0.0,9,0.0064748201,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Alabama\R0p999\MDCA\seed1\placement_trace_Alabama_mdca_seed1.json,MDCA,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Alabama\R0p999\MDCA\seed1
mdca,Alabama,120,12.0,9.0,1,7107730351518388438,1274429512653363058,b56db0d21b7c94cf1cbfdd4fe281852f506f1185a6b9dd5f9c177f64d601d89e,"[7, 9, 8, 11, 13, 10, 13, 10, 17, 8, 10, 15, 15, 7, 16, 13, 4, 15, 9, 11, 10, 6, 8, 15, 9, 16, 14, 15, 18, 9, 16, 7, 12, 10, 12, 7, 10, 12, 12, 16, 5, 11, 10, 11, 10, 12, 9, 13, 8, 12, 9, 13, 18, 17, 15, 16, 9, 8, 12, 15, 7, 16, 12, 14, 12, 14, 9, 8, 8, 8, 16, 13, 9, 14, 8, 14, 10, 14, 12, 9, 15, 11, 15, 11, 17, 9, 7, 9, 11, 9, 5, 16, 13, 11, 5, 16, 12, 14, 12, 20, 5, 13, 8, 10, 17, 15, 13, 12, 12, 10, 12, 14, 10, 8, 17, 8, 12, 6, 21, 14]",True,0.3,identical_active_pool,1.0,"0.5,0.5",,,0.999,2,True,False,False,1.0,4,True,0.5,200000000.0,0.0002,137,500,700,0.2,1390,1087,303,0.7820143885,46.4986982385,64633.1905515143,46482.1905515143,59.4601569011,0.9055240561,0.7250526187,48502.2027777778,16666.0666666667,0.0,1562.6,121.6501216545,0.0655270894,0.1311450435,0.0080785263,0.0405922818,0.0128583075,6.483269661e-19,0.0,1873898050.9540694,1723917.2501877362,498428923.3933779,458536.2680711848,8.542996055e-18,4.925495382e-17,1108,282,0.2028776978,21,5,0,16,0.0151079137,0.0035971223,0.0,16,0.0115107914,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Alabama\R0p999\DMDCA\seed1\placement_trace_Alabama_mdca_seed1.json,DMDCA,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Alabama\R0p999\DMDCA\seed1
mdca,Alabama,120,12.0,9.0,2,4521618134406134624,16121394405342853155,7404bdc3256a959c684d62eb3c10d5587d4c6ffb0abc5e614f237785895deb33,"[6, 14, 11, 10, 17, 15, 10, 14, 16, 11, 10, 10, 9, 12, 16, 16, 12, 17, 8, 12, 12, 6, 12, 9, 6, 16, 12, 11, 13, 9, 13, 14, 16, 12, 11, 17, 10, 22, 10, 12, 15, 14, 9, 11, 11, 18, 11, 10, 13, 13, 14, 13, 13, 11, 15, 10, 10, 13, 10, 15, 15, 7, 11, 12, 13, 9, 8, 7, 6, 6, 11, 13, 12, 4, 10, 6, 14, 14, 17, 6, 13, 9, 13, 11, 19, 8, 17, 11, 10, 9, 10, 16, 10, 9, 17, 9, 9, 10, 12, 16, 9, 10, 12, 13, 9, 16, 14, 12, 15, 11, 8, 12, 12, 12, 14, 13, 9, 10, 11, 10]",False,,,,,,,0.999,2,False,False,False,1.0,4,True,0.5,200000000.0,0.0002,137,500,700,0.2,1409,944,465,0.6699787083,32.8627386281,46303.5987269399,32719.5987269399,49.0504223802,0.5481912693,0.5728766477,75044.6333333333,79381.8,0.0,2492.0,579.4291970803,0.0550640786,0.1148411786,0.0081812914,0.0408277305,0.0060550567,0.0,0.0,976301167.527158,1034217.338482159,0.0,0.0,0.0,0.0,949,460,0.3264726757,5,0,0,5,0.003548616,0.0,0.0,5,0.003548616,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Alabama\R0p999\MDCA\seed2\placement_trace_Alabama_mdca_seed2.json,MDCA,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Alabama\R0p999\MDCA\seed2
mdca,Alabama,120,12.0,9.0,2,4521618134406134624,1988428424119012433,7404bdc3256a959c684d62eb3c10d5587d4c6ffb0abc5e614f237785895deb33,"[6, 14, 11, 10, 17, 15, 10, 14, 16, 11, 10, 10, 9, 12, 16, 16, 12, 17, 8, 12, 12, 6, 12, 9, 6, 16, 12, 11, 13, 9, 13, 14, 16, 12, 11, 17, 10, 22, 10, 12, 15, 14, 9, 11, 11, 18, 11, 10, 13, 13, 14, 13, 13, 11, 15, 10, 10, 13, 10, 15, 15, 7, 11, 12, 13, 9, 8, 7, 6, 6, 11, 13, 12, 4, 10, 6, 14, 14, 17, 6, 13, 9, 13, 11, 19, 8, 17, 11, 10, 9, 10, 16, 10, 9, 17, 9, 9, 10, 12, 16, 9, 10, 12, 13, 9, 16, 14, 12, 15, 11, 8, 12, 12, 12, 14, 13, 9, 10, 11, 10]",True,0.3,identical_active_pool,1.0,"0.5,0.5",,,0.999,2,True,False,False,1.0,4,True,0.5,200000000.0,0.0002,137,500,700,0.2,1409,1116,293,0.7920511001,43.0179386523,60612.2755610595,42971.2755610595,54.3120748755,0.6759674851,0.6907802298,54329.2333333333,56931.8,1.5333333333,1833.6,415.5605839416,0.0632428112,0.1278474113,0.008176991,0.0399030951,0.0113977475,5.81738585e-19,0.0,1845524308.8425765,1653695.617242452,498226558.75768197,446439.5687792849,7.82652397e-18,5.001926294e-17,1125,284,0.2015613911,9,0,0,9,0.0063875089,0.0,0.0,9,0.0063875089,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Alabama\R0p999\DMDCA\seed2\placement_trace_Alabama_mdca_seed2.json,DMDCA,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Alabama\R0p999\DMDCA\seed2
mdca,Alabama,120,12.0,9.0,3,17898944132975973841,8021305762253439011,bf61d259221c74149048e65e7fb1851e9cd650f207285111a85f27e2ebb5110c,"[11, 15, 15, 10, 9, 12, 16, 12, 18, 8, 13, 9, 14, 14, 19, 9, 12, 9, 14, 17, 12, 12, 9, 13, 9, 10, 10, 14, 13, 12, 11, 16, 21, 11, 7, 10, 9, 10, 14, 11, 12, 11, 12, 12, 9, 10, 11, 11, 9, 13, 9, 12, 8, 18, 14, 10, 8, 14, 7, 8, 10, 9, 12, 10, 12, 10, 7, 6, 6, 14, 11, 6, 12, 15, 15, 18, 6, 15, 16, 10, 9, 10, 12, 15, 8, 9, 13, 11, 8, 12, 15, 15, 8, 8, 10, 8, 13, 11, 9, 12, 15, 14, 23, 7, 14, 9, 11, 12, 6, 14, 14, 13, 8, 8, 14, 13, 13, 14, 18, 11]",False,,,,,,,0.999,2,False,False,False,1.0,4,True,0.5,200000000.0,0.0002,137,500,700,0.2,1395,926,469,0.6637992832,34.4269677022,48025.6199445348,34541.6199445348,51.8635204585,0.5825278363,0.5706423803,74846.9083333333,72775.0,0.0,2044.0,531.204379562,0.0551357447,0.1123400771,0.0079860397,0.0411958977,0.0059538073,0.0,0.0,921016186.4938444,994617.9119803935,0.0,0.0,0.0,0.0,932,463,0.3318996416,6,0,0,6,0.0043010753,0.0,0.0,6,0.0043010753,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Alabama\R0p999\MDCA\seed3\placement_trace_Alabama_mdca_seed3.json,MDCA,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Alabama\R0p999\MDCA\seed3
mdca,Alabama,120,12.0,9.0,3,17898944132975973841,15868857010820782473,bf61d259221c74149048e65e7fb1851e9cd650f207285111a85f27e2ebb5110c,"[11, 15, 15, 10, 9, 12, 16, 12, 18, 8, 13, 9, 14, 14, 19, 9, 12, 9, 14, 17, 12, 12, 9, 13, 9, 10, 10, 14, 13, 12, 11, 16, 21, 11, 7, 10, 9, 10, 14, 11, 12, 11, 12, 12, 9, 10, 11, 11, 9, 13, 9, 12, 8, 18, 14, 10, 8, 14, 7, 8, 10, 9, 12, 10, 12, 10, 7, 6, 6, 14, 11, 6, 12, 15, 15, 18, 6, 15, 16, 10, 9, 10, 12, 15, 8, 9, 13, 11, 8, 12, 15, 15, 8, 8, 10, 8, 13, 11, 9, 12, 15, 14, 23, 7, 14, 9, 11, 12, 6, 14, 14, 13, 8, 8, 14, 13, 13, 14, 18, 11]",True,0.3,identical_active_pool,1.0,"0.5,0.5",,,0.999,2,True,False,False,1.0,4,True,0.5,200000000.0,0.0002,137,500,700,0.2,1395,1115,280,0.7992831541,46.5699487238,64965.0784696887,47079.0784696887,58.2646443674,0.7431320021,0.7009875346,52124.75,44778.0,0.0,1910.4,326.8467153285,0.0632774522,0.1236440584,0.0080259206,0.0397620435,0.0115439947,6.573279539e-19,0.0,1827656735.9236763,1639154.023249934,492643785.25088465,441832.9912563988,8.828593732e-18,5.46995967e-17,1129,266,0.1906810036,14,5,0,9,0.0100358423,0.0035842294,0.0,9,0.0064516129,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Alabama\R0p999\DMDCA\seed3\placement_trace_Alabama_mdca_seed3.json,DMDCA,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Alabama\R0p999\DMDCA\seed3
mdca,Alabama,120,12.0,9.0,4,3231205637118540362,16336488235466383848,6c0c7e32fc521a83cd61c5d1ea84c5be7a21379cba43238204f84183943fd924,"[8, 14, 13, 10, 13, 9, 17, 9, 15, 15, 12, 10, 12, 12, 15, 16, 12, 14, 6, 14, 7, 9, 13, 14, 10, 15, 14, 11, 16, 12, 11, 13, 16, 11, 18, 12, 6, 7, 13, 11, 13, 13, 15, 5, 14, 13, 11, 14, 13, 9, 12, 7, 6, 7, 11, 10, 18, 15, 15, 10, 18, 12, 19, 9, 13, 20, 18, 8, 10, 13, 9, 10, 6, 12, 4, 14, 14, 9, 14, 4, 16, 9, 17, 10, 17, 9, 14, 12, 12, 11, 12, 11, 15, 13, 12, 11, 10, 10, 14, 10, 16, 12, 8, 17, 10, 10, 9, 9, 6, 7, 18, 13, 13, 10, 10, 12, 7, 11, 13, 12]",False,,,,,,,0.999,2,False,False,False,1.0,4,True,0.5,200000000.0,0.0002,137,500,700,0.2,1420,916,504,0.6450704225,31.9830707642,45415.9604851102,31840.9604851102,49.5807428877,0.6131402015,0.5719060479,73821.2916666667,66710.8,0.8,2204.0,486.9401459854,0.0561554677,0.1133016497,0.0080642471,0.0422418019,0.0058494187,0.0,0.0,933655001.2843994,1019274.0188694317,0.0,0.0,0.0,0.0,921,499,0.3514084507,5,0,0,5,0.0035211268,0.0,0.0,5,0.0035211268,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Alabama\R0p999\MDCA\seed4\placement_trace_Alabama_mdca_seed4.json,MDCA,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Alabama\R0p999\MDCA\seed4
mdca,Alabama,120,12.0,9.0,4,3231205637118540362,4574233998141395180,6c0c7e32fc521a83cd61c5d1ea84c5be7a21379cba43238204f84183943fd924,"[8, 14, 13, 10, 13, 9, 17, 9, 15, 15, 12, 10, 12, 12, 15, 16, 12, 14, 6, 14, 7, 9, 13, 14, 10, 15, 14, 11, 16, 12, 11, 13, 16, 11, 18, 12, 6, 7, 13, 11, 13, 13, 15, 5, 14, 13, 11, 14, 13, 9, 12, 7, 6, 7, 11, 10, 18, 15, 15, 10, 18, 12, 19, 9, 13, 20, 18, 8, 10, 13, 9, 10, 6, 12, 4, 14, 14, 9, 14, 4, 16, 9, 17, 10, 17, 9, 14, 12, 12, 11, 12, 11, 15, 13, 12, 11, 10, 10, 14, 10, 16, 12, 8, 17, 10, 10, 9, 9, 6, 7, 18, 13, 13, 10, 10, 12, 7, 11, 13, 12]",True,0.3,identical_active_pool,1.0,"0.5,0.5",,,0.999,2,True,False,False,1.0,4,True,0.5,200000000.0,0.0002,137,500,700,0.2,1420,1113,307,0.7838028169,44.7983730021,63613.6896629575,45231.6896629575,57.1551569299,0.779762602,0.7115106372,49747.625,37978.1333333333,0.0,2204.0,277.2126520681,0.0651089044,0.127068576,0.0080452685,0.0409018438,0.0120214204,6.678607452e-19,0.0,1872584089.7895138,1682465.489478449,500210642.7303408,449425.5550137833,8.627900365e-18,5.827875809e-17,1129,291,0.2049295775,16,2,0,14,0.0112676056,0.0014084507,0.0,14,0.0098591549,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Alabama\R0p999\DMDCA\seed4\placement_trace_Alabama_mdca_seed4.json,DMDCA,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Alabama\R0p999\DMDCA\seed4
mdca,Alabama,120,12.0,9.0,5,2423446912683703478,10056931585136477576,242807615d01f26b618bf2474c8c191b5431614999303085f85b6b1352045e68,"[13, 19, 12, 12, 6, 12, 10, 7, 9, 12, 14, 7, 14, 11, 15, 13, 11, 13, 13, 11, 15, 12, 11, 14, 14, 14, 12, 10, 15, 8, 12, 8, 13, 14, 8, 10, 15, 16, 14, 15, 11, 9, 16, 15, 16, 18, 15, 13, 7, 10, 9, 10, 11, 16, 9, 9, 10, 8, 9, 11, 13, 15, 9, 14, 10, 13, 9, 17, 8, 24, 17, 8, 6, 5, 12, 12, 9, 11, 18, 10, 13, 13, 13, 13, 6, 14, 6, 11, 11, 8, 14, 11, 19, 8, 12, 14, 17, 11, 14, 11, 8, 22, 10, 14, 18, 10, 7, 8, 9, 8, 8, 16, 16, 13, 7, 11, 18, 8, 11, 6]",False,,,,,,,0.999,2,False,False,False,1.0,4,True,0.5,200000000.0,0.0002,137,500,700,0.2,1423,909,514,0.638791286,32.084874054,45656.7757787736,32318.7757787736,50.2274761043,0.5408849598,0.572376246,74830.3083333333,80341.0,0.0,2134.4,586.4306569343,0.053958802,0.114843384,0.0081606564,0.0397456914,0.0060524542,0.0,0.0,937657263.3826573,1031526.1423351566,0.0,0.0,0.0,0.0,912,511,0.3591004919,3,0,0,3,0.0021082221,0.0,0.0,3,0.0021082221,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Alabama\R0p999\MDCA\seed5\placement_trace_Alabama_mdca_seed5.json,MDCA,D:\Study\Code_1\paper_data\mobility_stress\sim_runs\Alabama\R0p999\MDCA\seed5
