region,fixed_reliability,split_replica_count,method,acceptance_ratio_DMDCA,acceptance_ratio_MDCA,acceptance_ratio_diff_DMDCA_minus_MDCA,avg_cost_per_accepted_DMDCA,avg_cost_per_accepted_MDCA,avg_cost_per_accepted_diff_DMDCA_minus_MDCA,p95_e2e_delay_accepted_DMDCA,p95_e2e_delay_accepted_MDCA,p95_e2e_delay_accepted_diff_DMDCA_minus_MDCA,capacity_rejection_ratio_DMDCA,capacity_rejection_ratio_MDCA,capacity_rejection_ratio_diff_DMDCA_minus_MDCA,reliability_rejection_ratio_DMDCA,reliability_rejection_ratio_MDCA,reliability_rejection_ratio_diff_DMDCA_minus_MDCA,qos_rejection_ratio_DMDCA,qos_rejection_ratio_MDCA,qos_rejection_ratio_diff_DMDCA_minus_MDCA,rga_rejection_ratio_DMDCA,rga_rejection_ratio_MDCA,rga_rejection_ratio_diff_DMDCA_minus_MDCA,avg_transmitted_bits_per_accepted_DMDCA,avg_transmitted_bits_per_accepted_MDCA,avg_transmitted_bits_per_accepted_diff_DMDCA_minus_MDCA,avg_split_transmitted_bits_per_accepted_DMDCA,avg_split_transmitted_bits_per_accepted_MDCA,avg_split_transmitted_bits_per_accepted_diff_DMDCA_minus_MDCA
Alabama,0.996,2,DMDCA_V2,0.96650654674,0.9433845095400001,0.023122037199999945,58.0914703807,61.78512079482,-3.6936504141200004,0.13184996614,0.12483838636,0.007011579779999999,0.023825330920000002,0.04970888912,-0.0258835582,0.0,0.0,0.0,0.00966812234,0.00690660136,0.0027615209799999995,0.0,0.0,0.0,1771770.0156286857,1268792.8236472213,502977.1919814644,420459.40961653163,0.0,420459.40961653163
Alabama,0.996,3,DMDCA_V3,0.9787620805199999,0.9433845095400001,0.03537757097999983,56.40585410624,61.78512079482,-5.379266688580003,0.13431939582000002,0.12483838636,0.009481009460000023,0.01005149902,0.04970888912,-0.0396573901,0.0002768166,0.0,0.0002768166,0.01090960384,0.00690660136,0.00400300248,0.0,0.0,0.0,1916874.4005872838,1268792.8236472213,648081.5769400625,557596.4787316495,0.0,557596.4787316495
Alabama,0.996,4,DMDCA_V4,0.9776801324800001,0.9433845095400001,0.03429562293999999,58.50583760778001,61.78512079482,-3.2792831870399937,0.13548967498,0.12483838636,0.010651288620000005,0.01183012844,0.04970888912,-0.03787876068,0.00027400152000000004,0.0,0.00027400152000000004,0.01021573756,0.00690660136,0.0033091362,0.0,0.0,0.0,1989456.847126529,1268792.8236472213,720664.0234793078,625083.2027162495,0.0,625083.2027162495
Alabama,0.996,5,DMDCA_V5,0.97437266528,0.9433845095400001,0.030988155739999912,60.39875136984,61.78512079482,-1.3863694249800034,0.13494228524000002,0.12483838636,0.010103898880000017,0.01238006534,0.04970888912,-0.037328823780000006,0.0006905707599999999,0.0,0.0006905707599999999,0.012556698639999999,0.00690660136,0.005650097279999999,0.0,0.0,0.0,2026013.5648051766,1268792.8236472213,757220.7411579553,669322.3630987082,0.0,669322.3630987082
Alabama,0.998,2,DMDCA_V2,0.9262003113,0.8922566591400001,0.03394365215999995,59.917937663939995,61.92180519604,-2.003867532100003,0.13002440166,0.12300785312,0.007016548540000014,0.045399468139999996,0.05354022282,-0.00814075468,0.0,0.0,0.0,0.012941643320000001,0.00893607784,0.004005565480000001,0.01545857726,0.045267040140000006,-0.029808462880000004,1722997.9886300866,1223265.8528977411,499732.1357323455,413481.8316785366,0.0,413481.8316785366
Alabama,0.998,3,DMDCA_V3,0.9474220578800001,0.8922566591400001,0.05516539874000004,57.40737392062,61.92180519604,-4.5144312754199944,0.13169229746,0.12300785312,0.00868444434,0.02290483612,0.05354022282,-0.030635386699999996,0.0001369863,0.0,0.0001369863,0.014881203700000002,0.00893607784,0.005945125860000001,0.01465491602,0.045267040140000006,-0.030612124120000007,1901302.8995459166,1223265.8528977411,678037.0466481755,564363.5480378938,0.0,564363.5480378938
Alabama,0.998,4,DMDCA_V4,0.9490949790800001,0.8922566591400001,0.05683831993999999,59.158745316440005,61.92180519604,-2.763059879599993,0.13279847342,0.12300785312,0.00979062030000001,0.02194983854,0.05354022282,-0.031590384279999995,0.00068633292,0.0,0.00068633292,0.013909842620000001,0.00893607784,0.004973764780000001,0.01435900682,0.045267040140000006,-0.030908033320000007,1992923.450617997,1223265.8528977411,769657.5977202558,648814.0988999296,0.0,648814.0988999296
Alabama,0.998,5,DMDCA_V5,0.9431548089199999,0.8922566591400001,0.050898149779999846,61.116996890639996,61.92180519604,-0.8048083054000017,0.13285185262,0.12300785312,0.009843999499999992,0.02317859302,0.05354022282,-0.030361629799999998,0.00124146814,0.0,0.00124146814,0.0150153749,0.00893607784,0.006079297059999999,0.017409755059999997,0.045267040140000006,-0.02785728508000001,2019600.4761764756,1223265.8528977411,796334.6232787345,685610.3134063061,0.0,685610.3134063061
Alabama,0.999,2,DMDCA_V2,0.78842256178,0.6527365731,0.13568598868000004,57.35495286092,50.74669985382,6.608253007100004,0.12643984408,0.11447439833999999,0.01196544574000001,0.0017179604800000002,0.0,0.0017179604800000002,0.0,0.0,0.0,0.008809487539999999,0.00399077206,0.004818715479999999,0.20104999021999997,0.34327265485999997,-0.14222266464,1662186.2586417783,1026608.2553031134,635578.0033386649,443687.3196446216,0.0,443687.3196446216
Alabama,0.999,3,DMDCA_V3,0.79445928354,0.6527365731,0.14172271043999995,52.0667392683,50.74669985382,1.32003941448,0.12857348225999998,0.11447439833999999,0.014099083919999991,0.0,0.0,0.0,0.0,0.0,0.0,0.00953364092,0.00399077206,0.0055428688599999994,0.19600707556000002,0.34327265485999997,-0.14726557929999995,1826314.7550800338,1026608.2553031134,799706.4997769204,602878.5963292501,0.0,602878.5963292501
Alabama,0.999,4,DMDCA_V4,0.7958074191,0.6527365731,0.14307084599999997,52.40939168982,50.74669985382,1.6626918360000005,0.13063761054,0.11447439833999999,0.016163212200000013,0.0,0.0,0.0,0.0,0.0,0.0,0.00868608442,0.00399077206,0.00469531236,0.19550649650000002,0.34327265485999997,-0.14776615835999996,1907283.598442531,1026608.2553031134,880675.3431394176,684772.4749447594,0.0,684772.4749447594
Alabama,0.999,5,DMDCA_V5,0.7943810264,0.6527365731,0.14164445329999997,54.80342911699999,50.74669985382,4.056729263179996,0.13120527761999998,0.11447439833999999,0.016730879279999986,0.0,0.0,0.0,0.0,0.0,0.0,0.009108906560000001,0.00399077206,0.005118134500000001,0.19651006706000002,0.34327265485999997,-0.14676258779999996,1950743.1845218975,1026608.2553031134,924134.9292187841,727508.3753199875,0.0,727508.3753199875
Arizona,0.996,2,DMDCA_V2,0.98666814754,0.9891351403599999,-0.002466992819999958,45.0502741986,49.00666922528,-3.956395026679999,0.13649727618000002,0.12762892,0.008868356180000009,0.0,0.0,0.0,0.0,0.0,0.0,0.013331852459999998,0.010864859639999998,0.0024669928199999996,0.0,0.0,0.0,1797844.3644635088,1336208.3503964934,461636.0140670154,415318.68816110014,0.0,415318.68816110014
Arizona,0.996,3,DMDCA_V3,0.9847207262,0.9891351403599999,-0.004414414159999991,43.27668227808,49.00666922528,-5.729986947199997,0.13605888002,0.12762892,0.008429960019999988,0.0,0.0,0.0,0.0,0.0,0.0,0.015279273799999998,0.010864859639999998,0.0044144141599999995,0.0,0.0,0.0,1956511.8470621756,1336208.3503964934,620303.4966656822,566581.101377404,0.0,566581.101377404
Arizona,0.996,4,DMDCA_V4,0.9840574096199999,0.9891351403599999,-0.005077730740000064,45.3892540011,49.00666922528,-3.61741522418,0.1379697386,0.12762892,0.010340818599999996,0.0,0.0,0.0,0.0,0.0,0.0,0.01594259038,0.010864859639999998,0.005077730740000001,0.0,0.0,0.0,2029620.1309736993,1336208.3503964934,693411.7805772058,633825.4400993944,0.0,633825.4400993944
Arizona,0.996,5,DMDCA_V5,0.98307138564,0.9891351403599999,-0.006063754719999981,47.29312069774,49.00666922528,-1.7135485275399986,0.13843710322,0.12762892,0.01080818321999999,0.0,0.0,0.0,0.0,0.0,0.0,0.01692861436,0.010864859639999998,0.006063754720000002,0.0,0.0,0.0,2092012.937859945,1336208.3503964934,755804.5874634515,696441.1102825545,0.0,696441.1102825545
Arizona,0.998,2,DMDCA_V2,0.9728230657799999,0.94990674414,0.022916321639999904,47.48310373988,49.61207679836,-2.1289730584799997,0.13459359056,0.1251082905,0.009485300060000007,0.0,0.0,0.0,0.0,0.0,0.0,0.01188389274,0.007746228220000001,0.00413766452,0.01529304146,0.04234702762,-0.027053986159999998,1787225.59346318,1296362.1595928252,490863.43387035467,416812.7175288272,0.0,416812.7175288272
Arizona,0.998,3,DMDCA_V3,0.9741371143,0.94990674414,0.02423037016000007,44.6318923697,49.61207679836,-4.980184428660003,0.13606494389999998,0.1251082905,0.010956653399999988,0.0,0.0,0.0,0.0,0.0,0.0,0.01241503562,0.007746228220000001,0.0046688074,0.013447850059999999,0.04234702762,-0.02889917756,1941543.0920568916,1296362.1595928252,645180.9324640664,569096.916538821,0.0,569096.916538821
Arizona,0.998,4,DMDCA_V4,0.9745703462599999,0.94990674414,0.02466360211999996,46.38401879406,49.61207679836,-3.228058004300003,0.13751444340000002,0.1251082905,0.012406152900000023,0.0,0.0,0.0,0.0,0.0,0.0,0.01342423458,0.007746228220000001,0.005678006359999999,0.01200541914,0.04234702762,-0.030341608479999997,2018943.7481444683,1296362.1595928252,722581.5885516431,642597.5607809691,0.0,642597.5607809691
Arizona,0.998,5,DMDCA_V5,0.97147412378,0.94990674414,0.021567379639999995,48.23207748352,49.61207679836,-1.3799993148399992,0.13686388236,0.1251082905,0.011755591859999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0136947828,0.007746228220000001,0.0059485545799999985,0.0148310934,0.04234702762,-0.027515934219999996,2067402.2632215563,1296362.1595928252,771040.1036287311,694263.3537652051,0.0,694263.3537652051
Arizona,0.999,2,DMDCA_V2,0.78523432902,0.6393302768,0.14590405222000002,45.329339972499994,40.43357869506,4.895761277439995,0.1345948762,0.11750029278,0.01709458341999999,0.0,0.0,0.0,0.0,0.0,0.0,0.009994630760000001,0.00430749538,0.005687135380000001,0.20477104023999998,0.3563622278,-0.15159118756,1705133.6443785634,1051320.7610791358,653812.8832994276,452443.48631468974,0.0,452443.48631468974
Arizona,0.999,3,DMDCA_V3,0.79035622926,0.6393302768,0.15102595246000006,42.27525322996,40.43357869506,1.841674534900001,0.13400091616,0.11750029278,0.01650062338000001,0.0,0.0,0.0,0.0,0.0,0.0,0.01127212048,0.00430749538,0.0069646251,0.19837165026,0.3563622278,-0.15799057753999998,1870196.8682099686,1051320.7610791358,818876.1071308327,606217.5527651936,0.0,606217.5527651936
Arizona,0.999,4,DMDCA_V4,0.78818251188,0.6393302768,0.14885223508,42.52500804808,40.43357869506,2.091429353019997,0.13588197946,0.11750029278,0.018381686679999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0106915644,0.00430749538,0.006384069020000001,0.20112592372,0.3563622278,-0.15523630408,1961661.9612313074,1051320.7610791358,910341.2001521715,705031.2718936114,0.0,705031.2718936114
Arizona,0.999,5,DMDCA_V5,0.78882396782,0.6393302768,0.14949369101999999,44.71659615398001,40.43357869506,4.283017458920007,0.13853176078,0.11750029278,0.02103146800000001,0.0,0.0,0.0,0.0,0.0,0.0,0.011239103759999999,0.00430749538,0.006931608379999999,0.19993692840000002,0.3563622278,-0.15642529939999997,2000783.822054395,1051320.7610791358,949463.0609752592,748393.6013262803,0.0,748393.6013262803
