region,fixed_reliability,method,base_method,split_replica_count,acceptance_ratio_mean,acceptance_ratio_std,acceptance_ratio_count,avg_cost_per_accepted_mean,avg_cost_per_accepted_std,avg_cost_per_accepted_count,p95_e2e_delay_accepted_mean,p95_e2e_delay_accepted_std,p95_e2e_delay_accepted_count,avg_e2e_delay_accepted_mean,avg_e2e_delay_accepted_std,avg_e2e_delay_accepted_count,capacity_rejection_ratio_mean,capacity_rejection_ratio_std,capacity_rejection_ratio_count,reliability_rejection_ratio_mean,reliability_rejection_ratio_std,reliability_rejection_ratio_count,qos_rejection_ratio_mean,qos_rejection_ratio_std,qos_rejection_ratio_count,rga_rejection_ratio_mean,rga_rejection_ratio_std,rga_rejection_ratio_count,final_utilization_mean,final_utilization_std,final_utilization_count,avg_utilization_over_time_mean,avg_utilization_over_time_std,avg_utilization_over_time_count,total_arrivals_mean,total_arrivals_std,total_arrivals_count,total_accepted_mean,total_accepted_std,total_accepted_count,avg_transmitted_bits_per_accepted_mean,avg_transmitted_bits_per_accepted_std,avg_transmitted_bits_per_accepted_count,avg_split_transmitted_bits_per_accepted_mean,avg_split_transmitted_bits_per_accepted_std,avg_split_transmitted_bits_per_accepted_count,avg_split_overhead_ratio_accepted_mean,avg_split_overhead_ratio_accepted_std,avg_split_overhead_ratio_accepted_count,p95_split_overhead_ratio_accepted_mean,p95_split_overhead_ratio_accepted_std,p95_split_overhead_ratio_accepted_count,acceptance_ratio_ci95,avg_cost_per_accepted_ci95,p95_e2e_delay_accepted_ci95,avg_e2e_delay_accepted_ci95,capacity_rejection_ratio_ci95,reliability_rejection_ratio_ci95,qos_rejection_ratio_ci95,rga_rejection_ratio_ci95,final_utilization_ci95,avg_utilization_over_time_ci95,total_arrivals_ci95,total_accepted_ci95,avg_transmitted_bits_per_accepted_ci95,avg_split_transmitted_bits_per_accepted_ci95,avg_split_overhead_ratio_accepted_ci95,p95_split_overhead_ratio_accepted_ci95
Alabama,0.996,DMDCA_V2,DMDCA,2,0.96650654674,0.0111692223587647,5,58.0914703807,2.312579452515016,5,0.13184996614,0.00437878793492213,5,0.06824278628,0.0009901412567402143,5,0.023825330920000002,0.010990258070288871,5,0.0,0.0,5,0.00966812234,0.0014545295876269217,5,0.0,0.0,5,0.8341066793199999,0.12397511042668162,5,0.82935529644,0.01515749663149869,5,1447.8,15.546703830715993,5,1399.2,10.329569206893387,5,1771770.0156286857,22420.966020015123,5,420459.40961653163,7767.31688052085,5,7.7569594694e-18,3.2589166578374844e-19,5,5.0366013578e-17,1.9852482891371864e-18,5,0.009790255056403298,2.0270652648035865,0.0038381768527643878,0.0008678970777000908,0.009633385941089178,0.0,0.0012749513970216652,0.0,0.10866897557738439,0.013286131592008019,13.627286743882637,9.054266618561662,19652.843223650954,6808.353430669483,2.856566398532967e-19,1.740146849676555e-18
Alabama,0.996,DMDCA_V3,DMDCA,3,0.9787620805199999,0.007984137492096722,5,56.40585410624,2.1675158743467056,5,0.13431939582000002,0.002556706117421857,5,0.06968900174,0.0010764631884934873,5,0.01005149902,0.007223616934660196,5,0.0002768166,0.0006189807349003683,5,0.01090960384,0.0023037798774824983,5,0.0,0.0,5,0.81242074936,0.12615590782479105,5,0.8008918891200001,0.013539777270347856,5,1447.8,15.546703830715993,5,1417.0,13.397761006974282,5,1916874.4005872838,36563.308121338225,5,557596.4787316495,14145.681157474452,5,1.6429439129999998e-18,1.4657789908829679e-19,5,7.6771542188e-18,4.666824382070296e-18,5,0.006998405076220919,1.8999114322408572,0.002241051721401574,0.0009435615869810618,0.00633177941565299,0.0005425605359999999,0.002019352097208825,0.0,0.11058052877849672,0.011868138051668106,13.627286743882637,11.743655308293086,32049.1526371003,12399.236225211105,1.2848119337333013e-19,4.0906519304861514e-18
Alabama,0.996,DMDCA_V4,DMDCA,4,0.9776801324800001,0.010246248493708995,5,58.50583760778001,2.0202976459109987,5,0.13548967498,0.0038748918993467083,5,0.07040932796,0.00119864726957299,5,0.01183012844,0.009563865916631694,5,0.00027400152000000004,0.0003752250343660148,5,0.01021573756,0.002230373765797247,5,0.0,0.0,5,0.8167226298999999,0.12230388780146821,5,0.8054934641199999,0.014837873719773917,5,1447.8,15.546703830715993,5,1415.4,12.095453691366844,5,1989456.847126529,49793.006412347284,5,625083.2027162495,22454.09703647251,5,4.6299873902e-18,2.3592514375674805e-19,5,3.6042216678e-17,1.0278585319173802e-18,5,0.008981232793344951,1.7708689654475989,0.003396492503421785,0.0010506606561174103,0.008383098092374466,0.00032889924401122465,0.001955008803377497,0.0,0.10720408435834336,0.013005969757357079,13.627286743882637,10.602132615658032,43645.494479699846,19681.883839996208,2.067975063442675e-19,9.009577270591964e-19
Alabama,0.996,DMDCA_V5,DMDCA,5,0.97437266528,0.010205399672444963,5,60.39875136984,2.3524423945582225,5,0.13494228524000002,0.003506682500430796,5,0.0706162442,0.001058466885323212,5,0.01238006534,0.00889724218566568,5,0.0006905707599999999,0.000693757792194634,5,0.012556698639999999,0.0022060751029472294,5,0.0,0.0,5,0.8304321270599999,0.13217909064360622,5,0.8064606190999999,0.010569522780507167,5,1447.8,15.546703830715993,5,1410.6,10.21273714534943,5,2026013.5648051766,40523.99744519157,5,669322.3630987082,15608.705273230504,5,8.5579989434e-18,4.719888161076754e-19,5,5.3534378826e-17,2.772383929505599e-18,5,0.00894542722281528,2.06200667409475,0.0030737427350171005,0.0009277871317459491,0.007798776629055488,0.0006081055166408108,0.0019337100863146617,0.0,0.11586008129821829,0.009264595199363072,13.627286743882637,8.951858801388681,35520.849898930646,13681.63340442751,4.1371643835507267e-19,2.4301016590321813e-18
Alabama,0.996,MDCA,MDCA,0,0.9433845095400001,0.008859165218089687,5,61.78512079482,2.706076610885615,5,0.12483838636,0.0022037989624580515,5,0.06295811406,0.0006802210283402288,5,0.04970888912,0.008898753108231948,5,0.0,0.0,5,0.00690660136,0.001090127279551999,5,0.0,0.0,5,0.86601482624,0.09647324650023612,5,0.85952268268,0.015015041751118417,5,1447.8,15.546703830715993,5,1365.8,16.361540269791238,5,1268792.8236472213,21585.96248311042,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.007765400695407714,2.371980731670893,0.0019317149612094863,0.0005962400199646764,0.007800101011077719,0.0,0.0009555386908724329,0.0,0.08456252897637168,0.013161264383875318,13.627286743882637,14.341522373862555,18920.93035302206,0.0,0.0,0.0
Alabama,0.998,DMDCA_V2,DMDCA,2,0.9262003113,0.005974523611525615,5,59.917937663939995,0.43312991272771995,5,0.13002440166,0.002796070927894939,5,0.066602729,0.0006377075973686601,5,0.045399468139999996,0.005988732159265655,5,0.0,0.0,5,0.012941643320000001,0.003635984544411488,5,0.01545857726,0.0035984236861101703,5,0.9134720755,0.05660029774977003,5,0.8499453814400001,0.012229873582126636,5,1449.0,19.974984355438178,5,1342.0,14.159802258506307,5,1722997.9886300866,23376.798481608133,5,413481.8316785366,9180.023864176006,5,7.8680432568e-18,2.4818188303305447e-19,5,5.2731863898e-17,1.7466672552109196e-18,5,0.0052369008439911375,0.37965510775551137,0.002450864228556127,0.0005589753546938809,0.0052493551852055825,0.0,0.0031870809737255344,0.0031541574298031808,0.049612348419563954,0.010719956844858693,17.508845764355797,12.41161391600626,20490.66731646634,8046.645698984195,2.175410120083581e-19,1.5310213529560392e-18
Alabama,0.998,DMDCA_V3,DMDCA,3,0.9474220578800001,0.006621512216079716,5,57.40737392062,0.7987909413719753,5,0.13169229746,0.004220675226843489,5,0.06816698044,0.0007997547148147213,5,0.02290483612,0.00222833171658801,5,0.0001369863,0.00030631067878617946,5,0.014881203700000002,0.0028888495619771052,5,0.01465491602,0.005897445948837514,5,0.9089874545000001,0.06150197656955035,5,0.8189531133599999,0.011186504823629984,5,1449.0,19.974984355438178,5,1372.8,19.904773296875316,5,1901302.8995459166,34598.358619039114,5,564363.5480378938,13120.362151226886,5,1.4785700406e-18,1.699709181577278e-19,5,4.1956760957999995e-18,4.133162592583786e-18,5,0.005804011360167812,0.700171131129764,0.0036995849535231837,0.0007010159157994566,0.0019532188683261576,0.000268493148,0.002532188286961709,0.00516933929381072,0.05390885934116465,0.009805403804776248,17.508845764355797,17.447303058066037,30326.79845857818,11500.504490547006,1.489860786619032e-19,3.622876747478033e-18
Alabama,0.998,DMDCA_V4,DMDCA,4,0.9490949790800001,0.00550520518241284,5,59.158745316440005,0.49821591802776594,5,0.13279847342,0.0027645158105067237,5,0.06915231549999999,0.000668990686826207,5,0.02194983854,0.003927673992983616,5,0.00068633292,0.0008389103495618033,5,0.013909842620000001,0.003702240432988816,5,0.01435900682,0.002775680162150547,5,0.8846888571000001,0.06845540981140749,5,0.81836910892,0.013012618806964351,5,1449.0,19.974984355438178,5,1375.2,16.991174179555685,5,1992923.450617997,35566.11579663123,5,648814.0988999296,23647.739145568237,5,4.3356993777999995e-18,2.719916695447737e-19,5,3.1928771016e-17,2.8210105442150406e-18,5,0.004825525103040022,0.4367055067915586,0.002423204948649057,0.0005863961916066073,0.0034427580483736035,0.0007353373429101348,0.0032451568206668087,0.002432990934335574,0.06000381230823797,0.011406063285324486,17.508845764355797,14.893420829346084,31175.075025823437,20728.15727951996,2.384112100669831e-19,2.4727247661065346e-18
Alabama,0.998,DMDCA_V5,DMDCA,5,0.9431548089199999,0.005063291985015698,5,61.116996890639996,0.7814714267773467,5,0.13285185262,0.0034047693370760686,5,0.06922081047999999,0.0008840724369009076,5,0.02317859302,0.0015218185090337829,5,0.00124146814,0.0017277926239645334,5,0.0150153749,0.003822590839388603,5,0.017409755059999997,0.004998708226530153,5,0.89162387498,0.06205116570918724,5,0.82558256042,0.011754915016646645,5,1449.0,19.974984355438178,5,1366.6,17.300289014926904,5,2019600.4761764756,14297.618010790105,5,685610.3134063061,9049.603262509918,5,9.1155357048e-18,5.401605944775402e-19,5,5.547495540199999e-17,3.788189628979415e-18,5,0.004438171106822579,0.6849899072371755,0.0029844119086803217,0.0007749236578501745,0.0013339327371618313,0.001514477009217312,0.0033506486030800316,0.004381560946529865,0.054390244846667865,0.010303637306406347,17.508845764355797,15.164371928965616,12532.414749073183,7932.327001235411,4.734716367432431e-19,3.3204946126466103e-18
Alabama,0.998,MDCA,MDCA,0,0.8922566591400001,0.006638427303561887,5,61.92180519604,0.883912731144077,5,0.12300785312,0.0037182063091046576,5,0.06121706284,0.0006926040328986598,5,0.05354022282,0.007890398705937916,5,0.0,0.0,5,0.00893607784,0.0033024436051249883,5,0.045267040140000006,0.008166415576908425,5,0.91507660756,0.04589016766072068,5,0.8571007469599999,0.011141609246938291,5,1449.0,19.974984355438178,5,1292.8,12.275992831539126,5,1223265.8528977411,18328.26943846368,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.005818838088066364,0.7747836695821354,0.0032591515281184306,0.0006070942020283464,0.0069162394074129925,0.0,0.0028947194500242267,0.007158178862092316,0.0402245054801877,0.00976605109671855,17.508845764355797,10.76038214934767,16065.43649873998,0.0,0.0,0.0
Alabama,0.999,DMDCA_V2,DMDCA,2,0.78842256178,0.0071677310785117,5,57.35495286092,1.9111731032076529,5,0.12643984408,0.0034605100270012515,5,0.06383206432,0.0014577232386777026,5,0.0017179604800000002,0.0018036616612535031,5,0.0,0.0,5,0.008809487539999999,0.0022848958266549865,5,0.20104999021999997,0.005987362550312573,5,0.76710036816,0.08587204312462597,5,0.70760090674,0.012755545899271751,5,1407.4,14.673104647619724,5,1109.6,12.720062892926284,5,1662186.2586417783,42934.5706976405,5,443687.3196446216,13472.58086619848,5,8.0874536812e-18,9.077636010738346e-19,5,5.1120570606e-17,5.681546301550671e-18,5,0.006282793302908097,1.6752170864122808,0.0030332707776202167,0.0012777507555932813,0.0015809791525254282,0.0,0.002002799496843201,0.005248154670026684,0.07527016451103519,0.011180728946589004,12.861543297753952,11.149626720209074,37633.810516560334,11809.237806479656,7.956898788444292e-19,4.980094909051288e-18
Alabama,0.999,DMDCA_V3,DMDCA,3,0.79445928354,0.013123594397815018,5,52.0667392683,2.818372717111082,5,0.12857348225999998,0.004845491488214201,5,0.06547964686,0.0016038557682681689,5,0.0,0.0,5,0.0,0.0,5,0.00953364092,0.00210874932124789,5,0.19600707556000002,0.014897899449450098,5,0.71068258266,0.058511865917211116,5,0.64988273454,0.03381395944178226,5,1407.4,14.673104647619724,5,1118.0,11.76860229593983,5,1826314.7550800338,43419.8414864305,5,602878.5963292501,20962.31393585925,5,1.6153557685999998e-18,3.659298838353157e-19,5,3.6751374671999994e-18,5.883572286773023e-18,5,0.01150333767959872,2.470412608705336,0.004247260554001081,0.001405841565389488,0.0,0.0,0.0018484002772881948,0.013058584629243426,0.05128791179504495,0.029639242264896424,12.861543297753952,10.31563473568157,38059.16911728225,18374.278299098798,3.2075168533971197e-19,5.157178492833279e-18
Alabama,0.999,DMDCA_V4,DMDCA,4,0.7958074191,0.008662885655823321,5,52.40939168982,1.883128535621956,5,0.13063761054,0.0027531474390494687,5,0.06647448142000001,0.0015611386756985194,5,0.0,0.0,5,0.0,0.0,5,0.00868608442,0.002705321084653856,5,0.19550649650000002,0.008992248933474003,5,0.6792509502199999,0.11190295236091136,5,0.64053620072,0.015758746664650474,5,1407.4,14.673104647619724,5,1120.0,15.19868415357066,5,1907283.598442531,48749.02279117585,5,684772.4749447594,17482.269110606012,5,4.9827999766e-18,2.217238602579588e-19,5,3.8214154546000004e-17,3.1365344942619983e-18,5,0.007593354073429687,1.6506349390799684,0.0024132401317112757,0.0013683983828570283,0.0,0.0,0.0023713184837297983,0.007882053715252357,0.098087262477872,0.013813150482683762,12.861543297753952,13.322234046885676,42730.40248872024,15323.884515845852,1.9434953251802027e-19,2.7492937024335587e-18
